Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Arsenal-2018,2.158,0.632,12.632,4.842,5.632,11.263,1.895,0.0,2.101,4.316,4.578947368421052
Bournemouth-2018,1.421,0.842,11.737,3.947,5.632,8.842,1.684,0.053,4.674,4.169,4.526315789473684
Brighton-2018,1.105,0.684,8.789,2.895,3.947,13.842,1.895,0.158,6.094,4.1,4.789473684210527
Burnley-2018,0.895,0.526,8.474,2.632,3.105,9.947,2.053,0.0,7.481,4.47,6.421052631578948
Cardiff-2018,0.947,0.316,11.263,3.211,4.0,9.789,1.579,0.053,7.463,4.531,5.947368421052632
Chelsea-2018,1.947,0.895,16.211,5.368,5.105,8.842,1.368,0.0,1.754,4.679,3.1052631578947367
Crystal Palace-2018,0.895,0.421,12.842,3.842,5.368,10.789,1.789,0.053,4.788,4.033,3.8947368421052633
Everton-2018,1.632,0.684,12.842,4.421,5.947,11.263,1.368,0.105,3.746,4.097,4.157894736842105
Fulham-2018,0.895,0.526,12.158,4.211,4.0,11.526,1.632,0.105,6.664,4.669,6.052631578947368
Huddersfield-2018,0.632,0.421,11.526,3.316,4.526,11.105,1.526,0.105,7.184,4.36,4.7368421052631575
Leicester-2018,1.263,0.474,11.789,4.316,5.263,9.737,1.632,0.211,3.935,3.794,3.5789473684210527
Liverpool-2018,2.263,0.895,15.737,6.263,6.632,9.158,0.842,0.053,1.553,5.664,2.6842105263157894
Man City-2018,2.684,1.368,18.053,6.895,7.947,8.632,0.947,0.053,1.381,7.552,2.526315789473684
Man United-2018,1.947,1.053,13.105,6.368,5.737,12.316,1.947,0.105,2.481,4.159,4.947368421052632
Newcastle-2018,0.737,0.526,10.632,3.316,4.842,11.842,1.421,0.105,5.459,4.034,4.2631578947368425
Southampton-2018,1.053,0.526,14.368,4.842,5.0,10.737,2.158,0.053,5.411,4.085,5.052631578947368
Tottenham-2018,2.211,1.158,12.737,5.368,4.737,10.737,1.316,0.053,2.087,4.337,4.368421052631579
Watford-2018,1.368,0.526,11.895,4.105,5.421,11.158,1.684,0.105,4.047,3.75,4.0
West Ham-2018,1.421,0.579,11.895,4.526,5.421,9.211,1.947,0.053,4.242,3.96,5.2105263157894735
Wolves-2018,1.053,0.263,13.316,4.526,4.789,12.263,1.737,0.0,3.546,3.699,4.368421052631579
