Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Arsenal-2018,1.684,0.842,11.895,4.105,5.526,10.421,1.895,0.105,2.607,4.386,5.052631578947368
Bournemouth-2018,1.526,0.632,11.789,4.632,4.421,9.0,1.474,0.0,4.815,4.187,4.684210526315789
Brighton-2018,0.737,0.211,10.421,2.789,4.263,10.526,1.263,0.053,5.992,4.165,4.421052631578948
Burnley-2018,1.474,0.737,10.421,3.421,4.263,8.947,1.895,0.053,6.23,4.237,4.631578947368421
Cardiff-2018,0.842,0.263,10.684,3.421,4.842,10.421,1.842,0.0,7.732,4.696,5.2105263157894735
Chelsea-2018,1.368,0.526,15.684,5.053,6.211,9.0,1.211,0.0,2.148,4.713,3.5789473684210527
Crystal Palace-2018,1.789,0.632,13.0,3.842,5.421,9.526,1.263,0.053,4.304,3.949,4.7368421052631575
Everton-2018,1.211,0.632,13.211,4.474,5.368,11.474,1.526,0.105,3.144,3.649,3.0526315789473686
Fulham-2018,0.895,0.263,11.684,3.632,4.474,10.737,1.947,0.0,5.83,4.321,5.789473684210527
Huddersfield-2018,0.526,0.158,9.526,2.895,4.0,11.0,1.368,0.105,8.909,4.897,5.315789473684211
Leicester-2018,1.421,0.316,15.316,5.368,5.789,8.737,1.368,0.053,3.919,4.02,3.736842105263158
Liverpool-2018,2.421,1.105,14.474,5.632,6.474,7.421,1.105,0.053,1.503,5.918,2.421052631578948
Man City-2018,2.316,1.211,17.895,6.789,7.158,8.632,1.368,0.0,1.277,7.262,1.8421052631578947
Man United-2018,1.474,0.789,14.579,5.474,4.789,10.474,1.895,0.105,2.206,4.427,4.157894736842105
Newcastle-2018,1.474,0.684,12.737,4.158,4.684,10.368,1.579,0.0,5.654,4.058,3.526315789473684
Southampton-2018,1.316,0.632,10.895,3.684,5.158,11.368,1.579,0.105,4.355,3.941,4.368421052631579
Tottenham-2018,1.316,0.474,15.474,4.579,5.474,9.0,1.632,0.105,2.42,4.402,4.0
Watford-2018,1.368,0.421,10.947,3.842,3.895,11.632,2.368,0.105,4.557,4.092,5.684210526315789
West Ham-2018,1.316,0.579,11.316,3.737,4.421,8.211,1.158,0.0,4.621,4.168,5.315789473684211
Wolves-2018,1.421,0.632,11.632,3.421,5.474,9.263,2.053,0.053,4.115,3.925,3.421052631578948
