Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Arsenal-2008,1.65,0.65,14.85,8.4,7.65,10.25,1.75,0.1,1.87,3.889,4.95
Aston Villa-2008,1.684,0.579,10.158,5.737,6.316,11.684,1.579,0.0,2.807,3.404,6.473684210526316
Blackburn-2008,1.1,0.6,10.25,5.05,5.6,13.45,2.1,0.1,3.493,3.364,5.85
Bolton-2008,1.158,0.737,12.684,6.947,5.737,12.789,1.842,0.053,4.581,3.52,7.842105263157895
Chelsea-2008,2.0,1.211,17.053,9.474,6.158,11.684,1.421,0.105,1.495,4.301,4.578947368421052
Everton-2008,1.263,0.316,10.684,5.737,5.474,13.053,1.421,0.053,3.205,3.36,7.157894736842105
Fulham-2008,0.889,0.5,11.778,6.667,5.389,10.444,1.0,0.056,3.835,3.411,6.0
Hull-2008,1.474,0.579,11.158,6.211,4.579,13.474,1.789,0.053,5.127,3.695,8.473684210526315
Liverpool-2008,1.579,0.579,15.316,7.421,7.737,10.947,1.579,0.0,1.869,4.014,3.473684210526316
Man City-2008,1.9,0.9,12.75,7.4,5.15,13.2,1.2,0.15,2.644,3.303,6.2
Man United-2008,1.647,0.824,17.471,11.176,7.588,11.059,2.0,0.118,1.663,4.508,5.176470588235294
Middlesbrough-2008,0.895,0.263,11.316,6.0,4.789,11.474,1.684,0.053,3.477,3.382,8.105263157894736
Newcastle-2008,1.316,0.474,9.158,5.0,4.053,11.158,1.421,0.158,4.03,3.547,6.526315789473684
Portsmouth-2008,1.05,0.35,11.85,6.6,4.75,11.35,1.45,0.1,3.642,3.457,6.75
Stoke-2008,0.895,0.158,7.632,3.632,4.421,13.053,2.0,0.105,5.974,3.861,8.052631578947368
Sunderland-2008,1.105,0.474,10.632,5.526,4.211,10.0,1.632,0.0,4.7,3.644,7.7894736842105265
Tottenham-2008,1.053,0.368,13.316,7.421,5.789,12.421,1.474,0.158,2.932,3.436,7.105263157894737
West Brom-2008,0.737,0.211,12.0,6.053,6.211,11.053,1.684,0.0,5.944,3.902,8.947368421052632
West Ham-2008,1.158,0.737,11.579,6.263,5.316,12.211,1.737,0.105,4.45,3.591,8.210526315789474
Wigan-2008,1.278,0.611,12.833,6.444,5.833,11.556,1.5,0.167,3.866,3.472,4.944444444444445
Arsenal-2009,2.611,1.222,15.222,8.833,7.056,11.278,1.5,0.0,1.78,4.365,4.777777777777778
Aston Villa-2009,1.526,0.789,11.053,6.0,5.632,13.947,2.0,0.105,2.912,3.544,7.7368421052631575
Birmingham-2009,1.0,0.4,9.6,5.65,4.75,9.65,1.75,0.05,4.981,3.703,7.95
Blackburn-2009,1.0,0.5,11.55,6.15,4.7,13.65,1.55,0.05,4.651,3.726,7.3
Bolton-2009,1.412,0.706,13.118,6.882,5.294,13.765,2.235,0.118,4.121,3.509,9.470588235294118
Burnley-2009,1.1,0.5,10.15,5.85,5.1,11.2,1.45,0.1,5.701,3.895,8.6
Chelsea-2009,2.25,0.85,19.55,10.6,8.25,11.15,1.4,0.1,1.524,4.58,4.2
Everton-2009,1.368,0.474,14.053,8.158,5.789,12.579,1.579,0.053,3.19,3.539,7.578947368421052
Fulham-2009,1.263,0.421,10.368,5.368,4.526,11.105,1.211,0.053,3.922,3.464,5.052631578947368
Hull-2009,0.947,0.579,8.895,5.105,4.0,14.211,1.947,0.105,6.205,3.967,8.421052631578947
Liverpool-2009,1.895,0.737,14.895,8.737,7.684,12.579,1.316,0.211,1.766,4.102,5.105263157894737
Man City-2009,1.944,0.944,12.333,6.833,6.944,11.0,1.278,0.111,2.283,3.799,6.055555555555555
Man United-2009,2.105,0.632,16.316,9.421,8.368,11.737,1.632,0.105,1.623,4.507,5.2105263157894735
Portsmouth-2009,0.895,0.421,13.474,7.105,5.368,14.211,2.105,0.105,5.474,3.815,6.105263157894737
Stoke-2009,0.789,0.474,9.0,4.105,4.316,12.842,2.0,0.053,5.156,3.726,8.052631578947368
Sunderland-2009,1.4,0.65,10.55,5.8,5.15,14.2,2.2,0.2,3.9,3.532,6.8
Tottenham-2009,2.105,0.737,15.526,9.053,5.0,11.211,1.526,0.053,2.479,3.694,7.315789473684211
West Ham-2009,1.474,0.842,12.947,7.474,4.737,12.474,2.053,0.158,3.988,3.49,8.894736842105264
Wigan-2009,1.167,0.389,13.278,6.889,4.389,12.444,1.444,0.0,4.78,3.656,7.555555555555555
Wolves-2009,0.895,0.263,10.368,6.053,5.684,12.526,1.842,0.105,6.246,4.028,7.894736842105263
Arsenal-2010,2.053,0.947,15.579,9.316,6.684,12.421,1.947,0.211,1.998,4.327,5.2105263157894735
Aston Villa-2010,1.053,0.526,11.947,6.421,6.474,12.526,1.842,0.0,3.213,3.395,8.0
Birmingham-2010,1.0,0.333,8.944,4.444,3.944,10.5,1.556,0.056,3.942,3.488,7.388888888888889
Blackburn-2010,1.3,0.55,9.55,4.95,5.15,12.45,1.75,0.1,4.096,3.597,8.75
Blackpool-2010,1.529,0.706,12.0,6.0,4.765,10.353,1.353,0.059,6.523,4.098,10.058823529411764
Bolton-2010,1.6,0.45,12.35,7.0,4.6,13.2,1.85,0.2,4.151,3.589,7.5
Chelsea-2010,1.737,0.842,15.316,8.158,6.158,10.105,1.526,0.053,1.57,4.996,5.473684210526316
Everton-2010,1.105,0.526,13.842,7.579,6.053,12.474,1.263,0.158,2.826,3.518,5.526315789473684
Fulham-2010,1.0,0.526,11.421,6.105,5.105,11.263,1.158,0.0,3.97,3.547,6.2105263157894735
Liverpool-2010,1.167,0.556,12.278,6.611,5.333,11.667,1.444,0.111,2.289,3.735,5.388888888888889
Man City-2010,1.6,0.8,12.35,7.4,5.95,12.4,2.25,0.2,1.999,3.593,5.45
Man United-2010,2.167,1.0,14.111,8.222,5.944,10.167,1.5,0.0,1.564,4.471,4.833333333333333
Newcastle-2010,1.474,0.684,11.105,6.368,4.737,12.053,2.263,0.053,4.328,3.69,5.947368421052632
Stoke-2010,1.211,0.211,12.105,6.263,5.737,11.053,1.947,0.0,4.113,3.587,6.421052631578948
Sunderland-2010,1.05,0.4,13.0,5.9,4.85,10.0,1.6,0.15,4.301,3.621,6.9
Tottenham-2010,1.526,0.579,14.632,8.632,7.579,9.737,1.526,0.105,2.363,3.604,7.315789473684211
West Brom-2010,1.316,0.421,13.211,6.632,5.789,10.789,1.421,0.316,5.288,3.873,6.157894736842105
West Ham-2010,1.0,0.4,11.55,5.1,4.55,11.05,1.6,0.0,5.008,3.79,7.8
Wigan-2010,0.895,0.368,12.526,7.053,3.895,12.474,1.474,0.158,5.289,3.804,5.7368421052631575
Wolves-2010,1.053,0.421,9.842,5.737,6.632,11.368,1.895,0.105,5.377,3.838,7.842105263157895
Arsenal-2011,1.842,0.737,15.632,9.474,8.105,9.474,1.895,0.158,2.345,4.047,5.2631578947368425
Aston Villa-2011,1.1,0.5,10.05,4.7,5.5,10.75,1.85,0.1,3.853,3.575,7.25
Blackburn-2011,1.474,0.684,11.105,6.316,4.105,12.0,2.105,0.105,5.258,3.783,8.157894736842104
Bolton-2011,1.211,0.526,11.158,7.526,4.789,11.053,1.526,0.263,4.395,3.621,9.578947368421053
Chelsea-2011,1.947,1.0,16.526,8.947,6.053,10.526,2.263,0.158,1.73,4.391,6.052631578947368
Everton-2011,1.056,0.278,13.278,7.056,5.556,12.056,1.667,0.056,3.28,3.592,5.111111111111111
Fulham-2011,1.053,0.421,13.474,8.474,4.789,9.684,1.947,0.0,3.669,3.48,8.263157894736842
Liverpool-2011,1.263,0.632,16.474,8.789,9.0,10.053,1.526,0.158,2.054,3.871,5.7894736842105265
Man City-2011,2.789,0.842,17.684,10.368,6.0,10.789,1.421,0.158,1.701,4.568,5.684210526315789
Man United-2011,2.579,1.211,16.158,10.0,7.263,8.842,1.263,0.053,1.539,4.588,7.7368421052631575
Newcastle-2011,1.368,0.579,12.105,6.895,4.947,10.474,1.789,0.105,3.603,3.549,6.578947368421052
Norwich-2011,1.474,0.684,11.737,6.526,4.316,9.211,1.474,0.105,5.545,3.989,8.789473684210526
QPR-2011,0.947,0.474,12.579,6.368,5.316,9.737,1.368,0.105,5.15,3.805,8.578947368421053
Stoke-2011,1.053,0.368,9.158,4.158,5.0,11.737,1.895,0.0,3.781,3.538,7.7894736842105265
Sunderland-2011,1.211,0.526,13.211,7.579,4.895,10.842,1.895,0.053,4.2,3.633,7.2105263157894735
Swansea-2011,1.0,0.45,10.0,5.5,5.3,8.3,1.45,0.05,5.096,3.791,7.45
Tottenham-2011,1.944,0.889,16.778,10.444,6.944,9.222,1.278,0.056,2.193,3.684,7.944444444444445
