Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Arsenal-2008,1.944,0.778,14.278,8.222,6.389,11.889,1.389,0.056,2.078,3.728,4.555555555555555
Aston Villa-2008,1.158,0.632,11.316,6.105,7.368,11.0,1.211,0.105,2.76,3.491,6.7368421052631575
Blackburn-2008,1.0,0.278,11.056,6.556,4.778,12.889,1.889,0.111,4.205,3.576,6.222222222222222
Bolton-2008,1.0,0.474,10.526,5.895,4.632,13.368,1.368,0.0,4.018,3.435,8.789473684210526
Chelsea-2008,1.579,0.474,17.474,9.421,6.263,10.263,1.211,0.053,1.758,4.065,5.7368421052631575
Everton-2008,1.632,0.737,11.579,6.474,4.684,11.842,1.158,0.0,3.065,3.47,5.2631578947368425
Fulham-2008,1.15,0.5,10.95,5.7,4.75,11.4,1.15,0.0,4.298,3.519,7.3
Hull-2008,0.579,0.211,10.737,5.0,5.316,14.579,2.0,0.105,4.574,3.549,6.315789473684211
Liverpool-2008,2.474,0.895,16.737,8.947,6.421,11.421,1.053,0.0,1.731,3.813,4.0
Man City-2008,1.111,0.556,13.0,6.611,6.056,10.667,1.5,0.056,3.473,3.517,6.611111111111111
Man United-2008,1.905,0.81,15.429,8.857,6.19,9.238,1.429,0.143,1.486,4.279,5.0
Middlesbrough-2008,0.579,0.368,11.105,5.526,4.316,10.632,1.158,0.105,4.59,3.63,7.7368421052631575
Newcastle-2008,0.789,0.421,10.368,5.579,4.842,10.474,1.737,0.263,3.952,3.457,7.842105263157895
Portsmouth-2008,0.944,0.167,11.389,5.5,5.556,11.444,1.833,0.167,3.87,3.412,7.222222222222222
Stoke-2008,1.105,0.368,8.368,3.579,4.895,12.105,1.895,0.158,4.936,3.636,7.315789473684211
Sunderland-2008,0.684,0.263,10.211,5.526,4.947,10.0,2.053,0.053,3.888,3.393,6.894736842105263
Tottenham-2008,1.316,0.737,12.053,7.263,5.789,10.0,1.474,0.105,2.869,3.43,5.842105263157895
West Brom-2008,1.158,0.316,12.526,7.368,6.0,11.684,1.842,0.053,4.765,3.583,7.368421052631579
West Ham-2008,1.053,0.474,11.263,6.579,4.737,11.789,1.789,0.105,3.629,3.415,7.631578947368421
Wigan-2008,0.55,0.35,12.6,5.55,5.55,11.55,1.7,0.05,4.474,3.557,6.05
Arsenal-2009,1.8,0.75,14.3,8.5,6.55,10.8,1.45,0.05,1.773,4.423,4.65
Aston Villa-2009,1.211,0.632,11.526,6.579,7.053,10.263,1.211,0.0,2.626,3.58,8.526315789473685
Birmingham-2009,1.0,0.5,10.056,5.944,5.222,11.944,2.167,0.0,4.172,3.582,8.11111111111111
Blackburn-2009,1.167,0.5,11.278,6.389,4.889,14.056,1.556,0.056,4.216,3.572,6.333333333333333
Bolton-2009,0.857,0.524,11.286,6.143,4.857,13.571,1.762,0.143,5.384,3.9,7.0
Burnley-2009,1.111,0.278,11.278,6.167,4.333,11.667,1.556,0.0,6.38,4.055,8.277777777777779
Chelsea-2009,3.222,1.444,17.0,9.778,6.667,12.111,1.556,0.167,1.466,5.007,4.166666666666667
Everton-2009,1.789,0.789,12.789,8.0,6.211,11.737,1.421,0.053,2.963,3.679,5.052631578947368
Fulham-2009,0.789,0.211,9.632,5.684,5.053,11.0,1.211,0.0,4.576,3.737,7.2631578947368425
Hull-2009,0.842,0.474,8.789,4.421,3.947,13.158,1.579,0.211,5.722,3.915,8.736842105263158
Liverpool-2009,1.316,0.632,12.421,6.421,6.421,10.842,1.632,0.053,2.136,3.865,4.368421052631579
Man City-2009,1.9,1.0,11.6,6.45,5.7,10.2,1.4,0.0,2.256,3.705,5.3
Man United-2009,2.421,0.842,16.105,8.684,7.105,10.421,1.053,0.105,1.569,4.906,5.157894736842105
Portsmouth-2009,0.895,0.316,11.053,6.263,4.526,11.211,1.684,0.158,6.668,4.15,8.473684210526315
Stoke-2009,1.0,0.474,8.737,4.842,5.316,10.737,1.474,0.211,4.789,3.735,7.631578947368421
Sunderland-2009,1.111,0.667,9.611,5.556,4.333,13.0,2.111,0.278,4.902,3.784,7.444444444444445
Tottenham-2009,1.421,0.737,15.895,9.263,7.684,10.789,1.474,0.0,2.327,3.865,6.315789473684211
West Ham-2009,1.0,0.316,11.105,6.105,4.789,13.053,1.421,0.0,5.288,3.899,6.7368421052631575
Wigan-2009,0.8,0.35,12.95,7.1,5.25,12.9,1.9,0.15,5.213,3.859,6.75
Wolves-2009,0.789,0.421,9.474,4.789,5.158,12.895,1.526,0.105,4.984,3.654,7.0
Arsenal-2010,1.737,0.842,15.737,8.684,6.579,10.316,1.632,0.105,1.645,4.188,4.578947368421052
Aston Villa-2010,1.474,0.684,11.0,6.263,5.895,10.474,1.895,0.105,3.71,3.644,6.842105263157895
Birmingham-2010,0.95,0.45,8.3,3.75,4.05,10.5,1.45,0.1,4.675,3.65,9.0
Blackburn-2010,1.111,0.667,10.778,5.111,4.0,11.444,1.667,0.111,4.212,3.598,8.166666666666666
Blackpool-2010,1.381,0.762,11.524,6.333,5.0,10.81,1.143,0.048,4.911,3.903,8.666666666666666
Bolton-2010,1.111,0.5,13.944,7.5,6.111,12.0,1.667,0.056,3.762,3.506,7.0
