Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed,points,wins,draws,losses
Arsenal-2008,1.789,0.711,14.579,8.316,7.053,11.026,1.579,0.079,1.969,3.813,4.7631578947368425,72.0,20.0,12.0,6.0
Aston Villa-2008,1.421,0.605,10.737,5.921,6.842,11.342,1.395,0.053,2.783,3.447,6.605263157894737,62.0,17.0,11.0,10.0
Blackburn-2008,1.053,0.447,10.632,5.763,5.211,13.184,2.0,0.105,3.831,3.464,6.026315789473684,41.0,10.0,11.0,17.0
Bolton-2008,1.079,0.605,11.605,6.421,5.184,13.079,1.605,0.026,4.3,3.478,8.31578947368421,41.0,11.0,8.0,19.0
Chelsea-2008,1.789,0.842,17.263,9.447,6.211,10.974,1.316,0.079,1.626,4.183,5.157894736842105,83.0,25.0,8.0,5.0
Everton-2008,1.447,0.526,11.132,6.105,5.079,12.447,1.289,0.026,3.135,3.415,6.2105263157894735,63.0,17.0,12.0,9.0
Fulham-2008,1.026,0.5,11.342,6.158,5.053,10.947,1.079,0.026,4.079,3.468,6.684210526315789,53.0,14.0,11.0,13.0
Hull-2008,1.026,0.395,10.947,5.605,4.947,14.026,1.895,0.079,4.85,3.622,7.394736842105263,35.0,8.0,11.0,19.0
Liverpool-2008,2.026,0.737,16.026,8.184,7.079,11.184,1.316,0.0,1.8,3.914,3.736842105263158,86.0,25.0,11.0,2.0
Man City-2008,1.526,0.737,12.868,7.026,5.579,12.0,1.342,0.105,3.037,3.404,6.394736842105263,50.0,15.0,5.0,18.0
Man United-2008,1.789,0.816,16.342,9.895,6.816,10.053,1.684,0.132,1.565,4.381,5.078947368421052,90.0,28.0,6.0,4.0
Middlesbrough-2008,0.737,0.316,11.211,5.763,4.553,11.053,1.421,0.079,4.034,3.506,7.921052631578948,32.0,7.0,11.0,20.0
Newcastle-2008,1.053,0.447,9.763,5.289,4.447,10.816,1.579,0.211,3.991,3.502,7.184210526315789,34.0,7.0,13.0,18.0
Portsmouth-2008,1.0,0.263,11.632,6.079,5.132,11.395,1.632,0.132,3.75,3.435,6.973684210526316,41.0,10.0,11.0,17.0
Stoke-2008,1.0,0.263,8.0,3.605,4.658,12.579,1.947,0.132,5.455,3.748,7.684210526315789,45.0,12.0,9.0,17.0
Sunderland-2008,0.895,0.368,10.421,5.526,4.579,10.0,1.842,0.026,4.294,3.519,7.342105263157895,36.0,9.0,9.0,20.0
Tottenham-2008,1.184,0.553,12.684,7.342,5.789,11.211,1.474,0.132,2.901,3.433,6.473684210526316,51.0,14.0,9.0,15.0
West Brom-2008,0.947,0.263,12.263,6.711,6.105,11.368,1.763,0.026,5.354,3.742,8.157894736842104,32.0,8.0,8.0,22.0
West Ham-2008,1.105,0.605,11.421,6.421,5.026,12.0,1.763,0.105,4.04,3.503,7.921052631578948,51.0,14.0,9.0,15.0
Wigan-2008,0.895,0.474,12.711,5.974,5.684,11.553,1.605,0.105,4.186,3.517,5.526315789473684,45.0,12.0,9.0,17.0
Arsenal-2009,2.184,0.974,14.737,8.658,6.789,11.026,1.474,0.026,1.777,4.396,4.7105263157894735,75.0,23.0,6.0,9.0
Aston Villa-2009,1.368,0.711,11.289,6.289,6.342,12.105,1.605,0.053,2.769,3.562,8.131578947368421,64.0,17.0,13.0,8.0
Birmingham-2009,1.0,0.447,9.816,5.789,4.974,10.737,1.947,0.026,4.598,3.646,8.026315789473685,,,,
Blackburn-2009,1.079,0.5,11.421,6.263,4.789,13.842,1.553,0.053,4.445,3.653,6.842105263157895,50.0,13.0,11.0,14.0
Bolton-2009,1.105,0.605,12.105,6.474,5.053,13.658,1.974,0.132,4.819,3.725,8.105263157894736,39.0,10.0,9.0,19.0
Burnley-2009,1.105,0.395,10.684,6.0,4.737,11.421,1.5,0.053,6.023,3.971,8.447368421052632,30.0,8.0,6.0,24.0
Chelsea-2009,2.711,1.132,18.342,10.211,7.5,11.605,1.474,0.132,1.496,4.782,4.184210526315789,86.0,27.0,5.0,6.0
Everton-2009,1.579,0.632,13.421,8.079,6.0,12.158,1.5,0.053,3.076,3.609,6.315789473684211,61.0,16.0,13.0,9.0
Fulham-2009,1.026,0.316,10.0,5.526,4.789,11.053,1.211,0.026,4.249,3.6,6.157894736842105,46.0,12.0,10.0,16.0
Hull-2009,0.895,0.526,8.842,4.763,3.974,13.684,1.763,0.158,5.964,3.941,8.578947368421053,30.0,6.0,12.0,20.0
Liverpool-2009,1.605,0.684,13.658,7.579,7.053,11.711,1.474,0.132,1.951,3.983,4.7368421052631575,63.0,18.0,9.0,11.0
Man City-2009,1.921,0.974,11.947,6.632,6.289,10.579,1.342,0.053,2.269,3.749,5.657894736842105,67.0,18.0,13.0,7.0
Man United-2009,2.263,0.737,16.211,9.053,7.737,11.079,1.342,0.105,1.596,4.707,5.184210526315789,85.0,27.0,4.0,7.0
Portsmouth-2009,0.895,0.368,12.263,6.684,4.947,12.711,1.895,0.132,6.071,3.983,7.2894736842105265,28.0,7.0,7.0,24.0
Stoke-2009,0.895,0.474,8.868,4.474,4.816,11.789,1.737,0.132,4.973,3.73,7.842105263157895,47.0,11.0,14.0,13.0
Sunderland-2009,1.263,0.658,10.105,5.684,4.763,13.632,2.158,0.237,4.375,3.651,7.105263157894737,44.0,11.0,11.0,16.0
